1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1567683069531,0,49005,63,1.581,-7.360,-0.513,4,0.000,8,0.000,20,7.393,21,4.571,24,6.159,27,12.733,38,7.547,47,7.276,98,0.000,99,1.606,255,0,
1567683069708,177,49182,63,1.583,-7.376,-0.508,4,0.000,8,0.000,20,6.516,21,3.739,24,6.159,27,10.824,38,6.597,47,7.276,98,0.000,99,2.154,255,0,
1567683070217,0,49691,63,1.588,-7.391,-0.503,4,0.000,8,0.000,20,6.516,21,3.739,24,6.159,27,10.824,38,6.597,47,7.276,98,0.000,99,2.154,255,0,
1567683070423,206,49897,63,1.592,-7.381,-0.504,4,0.000,8,0.000,20,6.516,21,3.739,24,6.159,27,10.824,38,6.597,47,7.276,98,0.000,99,2.154,255,0,
1567683070751,328,50225,63,1.598,-7.343,-0.511,4,0.000,8,0.000,20,6.516,21,3.739,24,6.159,27,10.824,38,6.597,47,7.276,98,0.000,99,2.154,255,0,
1567683071438,0,50912,63,1.582,-7.113,-0.557,4,0.000,8,0.000,20,6.516,21,3.739,24,6.159,27,8.191,38,4.747,47,7.276,98,0.000,99,4.413,255,0,
1567683071783,200,51257,63,1.562,-6.955,-0.584,4,0.000,8,0.000,20,6.516,21,3.739,24,6.159,27,8.191,38,4.747,47,7.276,98,0.000,99,4.413,255,0,
1567683072165,382,51639,63,1.499,-6.419,-0.656,4,0.000,8,0.000,20,6.516,21,3.739,24,6.159,27,8.191,38,4.747,47,7.276,98,0.000,99,4.413,255,0,
1567683072702,0,52176,63,1.466,-6.142,-0.680,4,0.000,8,0.000,20,6.516,21,3.739,24,6.159,27,8.191,38,4.747,47,7.276,98,0.000,99,4.413,255,0,
1567683072815,113,52289,63,1.414,-5.656,-0.694,4,0.000,8,0.000,20,6.516,21,3.739,24,6.159,27,8.191,38,4.747,47,7.276,98,0.000,99,4.413,255,0,
1567683073167,147,52641,63,1.325,-4.741,-0.694,4,0.000,8,0.000,20,6.516,21,3.739,24,6.159,27,8.191,38,4.747,47,7.276,98,0.000,99,4.413,255,0,
1567683073716,0,53190,63,1.284,-4.331,-0.660,4,0.000,8,0.000,20,6.516,21,3.739,24,6.159,27,8.191,38,4.747,47,7.276,98,0.000,99,4.413,255,0,
1567683074127,0,53601,63,1.245,-3.794,-0.615,4,0.000,8,0.000,20,6.516,21,3.739,24,6.159,27,8.191,38,4.747,47,7.276,98,0.000,99,4.413,255,0,
1567683074307,180,53781,63,1.205,-3.048,-0.553,4,0.000,8,0.000,20,1.748,21,3.739,24,6.159,27,8.191,38,1.315,47,7.276,98,0.000,99,8.254,255,0,
1567683074679,230,54153,63,1.200,-2.893,-0.541,4,0.000,8,0.000,20,1.748,21,3.739,24,6.159,27,8.191,38,1.315,47,7.276,98,0.000,99,8.254,255,0,
1567683075076,1,54550,63,1.188,-2.476,-0.509,4,0.000,8,0.000,20,1.748,21,3.739,24,6.159,27,8.191,38,1.315,47,7.276,98,0.000,99,8.254,255,0,
1567683075582,1,55056,63,1.132,-1.239,-0.405,4,0.000,8,0.000,20,1.748,21,3.739,24,6.159,27,8.191,38,1.315,47,7.276,98,0.000,99,8.254,255,0,
1567683075930,0,55404,63,1.115,-0.973,-0.383,4,0.000,8,0.000,20,2.492,21,4.964,24,6.159,27,8.191,38,2.032,47,7.276,98,0.000,99,10.623,255,0,
1567683076415,42,55889,63,1.080,-0.426,-0.368,4,0.000,8,0.000,20,2.889,21,4.964,24,6.159,27,8.191,38,2.404,47,7.276,98,0.000,99,11.077,255,0,
1567683076638,0,56112,63,1.029,0.228,-0.384,4,0.000,8,0.000,20,2.889,21,4.964,24,6.159,27,8.191,38,2.404,47,7.276,98,0.000,99,11.077,255,0,
1567683076980,0,56454,63,1.006,0.549,-0.406,4,0.000,8,0.000,20,2.889,21,4.964,24,6.159,27,8.191,38,2.404,47,7.276,98,0.000,99,11.077,255,0,
1567683077426,231,56900,63,0.966,0.949,-0.437,4,0.000,8,0.000,20,2.889,21,4.964,24,6.159,27,8.191,38,2.404,47,7.276,98,0.000,99,11.077,255,0,
1567683077771,0,57245,63,0.920,1.425,-0.527,4,0.000,8,0.000,20,2.889,21,4.964,24,6.159,27,8.191,38,2.404,47,7.276,98,0.000,99,11.077,255,0,
1567683078019,155,57493,63,0.879,2.040,-0.736,4,0.000,8,0.000,20,2.889,21,4.964,24,6.159,27,8.191,38,2.404,47,7.276,98,0.000,99,11.077,255,0,
